nloc,CCN,token_count,parameter_count,length,location,filename,filepath,function_name,signature,start_line,end_line
7,1,23,3,7,dumps@41-47@.\src\flask\json\provider.py,.\src\flask\json\provider.py,dumps,"dumps( self , obj : t . Any , ** kwargs : t . Any )",41,47,53
9,1,44,4,9,dump@49-57@.\src\flask\json\provider.py,.\src\flask\json\provider.py,dump,"dump( self , obj : t . Any , fp : t . IO [ str ] , ** kwargs : t . Any )",49,57,65
7,1,25,3,7,loads@59-65@.\src\flask\json\provider.py,.\src\flask\json\provider.py,loads,"loads( self , s : str | bytes , ** kwargs : t . Any )",59,65,71
7,1,42,3,7,load@67-73@.\src\flask\json\provider.py,.\src\flask\json\provider.py,load,"load( self , fp : t . IO [ t . AnyStr ] , ** kwargs : t . Any )",67,73,79
10,7,67,3,13,_prepare_response_obj@75-87@.\src\flask\json\provider.py,.\src\flask\json\provider.py,_prepare_response_obj,"_prepare_response_obj( self , args : tuple [ t . Any , ... ] , kwargs : dict [ str , t . Any ] )",75,87,99
17,1,50,3,17,response@89-105@.\src\flask\json\provider.py,.\src\flask\json\provider.py,response,"response( self , * args : t . Any , ** kwargs : t . Any )",89,105,121
10,6,87,1,14,_default@108-121@.\src\flask\json\provider.py,.\src\flask\json\provider.py,_default,_default( o : t . Any ),108,121,134
14,1,61,3,14,dumps@166-179@.\src\flask\json\provider.py,.\src\flask\json\provider.py,dumps,"dumps( self , obj : t . Any , ** kwargs : t . Any )",166,179,192
7,1,33,3,7,loads@181-187@.\src\flask\json\provider.py,.\src\flask\json\provider.py,loads,"loads( self , s : str | bytes , ** kwargs : t . Any )",181,187,193
25,4,104,3,27,response@189-215@.\src\flask\json\provider.py,.\src\flask\json\provider.py,response,"response( self , * args : t . Any , ** kwargs : t . Any )",189,215,241
3,1,17,2,3,__init__@69-71@.\src\flask\json\tag.py,.\src\flask\json\tag.py,__init__,"__init__( self , serializer : TaggedJSONSerializer )",69,71,73
3,1,16,2,3,check@73-75@.\src\flask\json\tag.py,.\src\flask\json\tag.py,check,"check( self , value : t . Any )",73,75,77
4,1,18,2,4,to_json@77-80@.\src\flask\json\tag.py,.\src\flask\json\tag.py,to_json,"to_json( self , value : t . Any )",77,80,83
4,1,18,2,4,to_python@82-85@.\src\flask\json\tag.py,.\src\flask\json\tag.py,to_python,"to_python( self , value : t . Any )",82,85,88
4,1,34,2,4,tag@87-90@.\src\flask\json\tag.py,.\src\flask\json\tag.py,tag,"tag( self , value : t . Any )",87,90,93
6,3,43,2,6,check@103-108@.\src\flask\json\tag.py,.\src\flask\json\tag.py,check,"check( self , value : t . Any )",103,108,113
3,1,41,2,3,to_json@110-112@.\src\flask\json\tag.py,.\src\flask\json\tag.py,to_json,"to_json( self , value : t . Any )",110,112,114
